C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456,BMT,01/06/2016,07:00:00,REGULAR,0004739708,0006536903                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/06/2016,11:00:00,REGULAR,0004739904,0006537936                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/06/2016,15:00:00,REGULAR,0004740126,0006538226                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/06/2016,19:00:00,REGULAR,0004740772,0006538760                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/06/2016,23:00:00,REGULAR,0004741088,0006539024                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/07/2016,03:00:00,REGULAR,0004741138,0006539058                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/07/2016,07:00:00,REGULAR,0004741151,0006539176                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/07/2016,11:00:00,REGULAR,0004741332,0006540268                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/07/2016,15:00:00,REGULAR,0004741539,0006540581                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/07/2016,19:00:00,REGULAR,0004742220,0006541074                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/07/2016,23:00:00,REGULAR,0004742507,0006541361                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/08/2016,03:00:00,REGULAR,0004742559,0006541415                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/08/2016,07:00:00,REGULAR,0004742571,0006541578                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/08/2016,11:00:00,REGULAR,0004742750,0006542531                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/08/2016,15:00:00,REGULAR,0004742992,0006542819                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/08/2016,19:00:00,REGULAR,0004743639,0006543368                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/08/2016,23:00:00,REGULAR,0004743967,0006543583                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/02/2016,03:00:00,REGULAR,0004366338,0005285251                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/02/2016,07:00:00,REGULAR,0004366346,0005285287                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/02/2016,11:00:00,REGULAR,0004366395,0005285487                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/02/2016,15:00:00,REGULAR,0004366622,0005285679                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/02/2016,19:00:00,REGULAR,0004366983,0005285847                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/02/2016,23:00:00,REGULAR,0004367211,0005285955                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/03/2016,03:00:00,REGULAR,0004367281,0005285984                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/03/2016,07:00:00,REGULAR,0004367289,0005286012                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/03/2016,11:00:00,REGULAR,0004367341,0005286167                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/03/2016,15:00:00,REGULAR,0004367506,0005286312                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/03/2016,19:00:00,REGULAR,0004367753,0005286502                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/03/2016,23:00:00,REGULAR,0004367910,0005286597                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/04/2016,03:00:00,REGULAR,0004367954,0005286619                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/04/2016,07:00:00,REGULAR,0004367964,0005286775                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/04/2016,11:00:00,REGULAR,0004368206,0005287613                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/04/2016,15:00:00,REGULAR,0004368400,0005287807                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/04/2016,19:00:00,REGULAR,0004369163,0005288088                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/04/2016,23:00:00,REGULAR,0004369409,0005288233                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/05/2016,03:00:00,REGULAR,0004369456,0005288244                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/05/2016,07:00:00,REGULAR,0004369474,0005288381                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/05/2016,11:00:00,REGULAR,0004369699,0005289266                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/05/2016,15:00:00,REGULAR,0004369892,0005289443                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/05/2016,19:00:00,REGULAR,0004370486,0005289687                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/05/2016,23:00:00,REGULAR,0004370708,0005289823                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/06/2016,03:00:00,REGULAR,0004370745,0005289841                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/06/2016,07:00:00,REGULAR,0004370753,0005290023                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/06/2016,11:00:00,REGULAR,0004370966,0005290845                                             
